Quantity,Designator,Value,Value2,Type,Supplier - Digikey,LibRef,Single Price

1,C1,47uF,50V,,493-4554-1-ND,C_SMD_ALU_47U_50V_20%_PCV1H470MCL7GS,3.42000
22,"C2, C3, C4, C5, C6, C7, C8, C19, C20, C25, C26, C29, C30, C31, C32, C33, C34, C38, C40, C41, C44, C47",100n,50V,,1276-1936-1-ND,C_SMD_CER_100N_50V_10%_X7R_0603,0.10000
7,"C9, C10, C11, C21, C22, C23, C39",10uF,50V,,490-6544-1-ND,C_SMD_CER_10U_50V_10%_X7R_1210,0.73000
2,"C12, C13",1uF,50V,,587-2910-1-ND,C_SMD_CER_1U_50V_10%_X7R_0805,0.19000
1,C14,4.7nF,50V,,478-1223-1-ND,C_SMD_CER_4N7_50V_10%_X7R_0603,0.10000
1,C15,100uF,50V,,493-4558-1-ND,C_SMD_ALU_100U_50V_20%_PCV1H101MCL2GS,5.12000
1,C16,33nF,50V,,1276-2042-1-ND,C_SMD_CER_33N_50V_10%_X7R_0603,0.10000
2,"C17, C46",3.3nF,50V,,490-1503-1-ND,C_SMD_CER_3N3_50V_10%_X7R_0603,0.10000
1,C18,47nF,50V,,1276-1063-1-ND,C_SMD_CER_47N_50V_10%_X7R_0603,0.10000
1,C24,470nF,50V,,587-3170-1-ND,C_SMD_CER_470N_50V_10%_X7R_0603,0.24000
2,"C27, C35",10n,50V,,399-1091-1-ND,C_SMD_CER_10N_50V_10%_X7R_0603,0.10000
2,"C28, C36",10uF,16V,,490-6473-1-ND,C_SMD_CER_10U_16V_10%_X5R_0805,0.20000
1,C37,22uF,6.3V,,587-3398-1-ND,C_SMD_CER_22U_6V3_20%_X5R_1206,0.43000
1,C42,6.8nF,50V,,1276-1185-1-ND,C_SMD_CER_6N8_50V_10%_X7R_0603,0.10000
1,C45,3.3uF,35V,,445-7553-1-ND,C_SMD_CER_3U3_35V_10%_X7R_0805,0.56000
1,D1,,,ACSL-6210-56RE,516-2916-1-ND,D_ACSL-6210_SO-8,5.09000
1,D2,,,FT232RQ,768-1008-1-ND,D_FT232RQ,4.50000
1,D3,,,,NHD-0420CW-AR3-ND,D_LCD_80CHAR_20X4_NHD-0420CW-AR3,29.90000
1,D4,,,DSPIC33EP16GS506,DSPIC33EP16GS506-I/PT-ND,D_DSPIC33EP16GS506_TQFP-64,4.09000
4,"E1, E2, E3, E4",,,M3 Standoffs 20mm,36-25505-ND,E_STANDOFF_20MM_M3_PLASTIC,0.59000
6,"H1, H2, H3, H4, H5, H6",,,Blue,VAOL-S6SB4CT-ND,H_SMD_LED_BLUE_0603,0.50000
1,L1,22uH,15A,,732-4237-1-ND,L_SMD_22U_15A_7MOHM_20%_74435582200,7.83000
1,L2,10uH,2A,74477710,732-1200-1-ND,L_SMD_10U_2A_20%_IND_74477710,2.68000
1,L3,4.7uH,1A,,732-2956-1-ND,L_SMD_4U7_1A_20%_0806,0.92000
1,N1,,,LT3741,LT3741EUF#PBF-ND,N_LT3741EUF_QFN-20,8.44000
1,N2,36V,72W,,285-1829-ND,N_EXT_ACDC_36V_75W,27.41000
1,N3,,,LT3973,LT3973EDD-5#PBF-ND,N_LT3973-5_DFN-10-3x3,5.88000
1,N4,,,AP2114H-3.3,AP2114H-3.3TRG1DICT-ND,N_AP2114H-3.3_SOT223,0.36000
1,N5,1.5V,7mA,ISL21080CIH315Z-TK,ISL21080CIH315Z-TKCT-ND,N_UREF_1V5_0A007_52UVRMS_ISL21080CIH315Z_SOT-23-3,1.61000
1,N6,,,TLVH431,296-17972-1-ND,N_TLVH431_SOT23-3,0.72000
6,"R1, R9, R10, R13, R14, R31",4.7k,100mW,,YAG1238CT-ND,R_SMD_THINFILM_4K7_0W1_1%_50PPM_0603,0.10000
10,"R2, R12, R19, R30, R32, R37, R38, R39, R40, R41",10k,100mW,,YAG2321CT-ND,R_SMD_THINFILM_10K_0W1_1%_50PPM_0603,0.10000
1,R3,43k,100mW,,P43KDBCT-ND,R_SMD_THINFILM_43K_0W1_0.1%_25PPM_0603,0.63000
2,"R4, R5",10m,500mW,,LVK12R010DERCT-ND,R_SMD_THICKFILM_0E01_0W5_0.5%_50PPM_1206,0.74000
2,"R6, R28",47k,100mW,,YAG3355CT-ND,R_SMD_THINFILM_47K_0W1_1%_50PPM_0603,0.10000
3,"R7, R8, R24",10E,100mW,,YAG3351CT-ND,R_SMD_THINFILM_10E_0W1_1%_50PPM_0603,0.10000
2,"R11, R29",180k,100mW,,P180KDBCT-ND,R_SMD_THINFILM_180K_0W1_0.1%_25PPM_0603,0.63000
1,R15,150k,100mW,,P150KDBCT-ND,R_SMD_THINFILM_150K_0W1_1%_50PPM_0603,0.63000
6,"R16, R17, R18, R21, R22, R23",100E,100mW,,YAG2128CT-ND,R_SMD_THINFILM_100E_0W1_1%_50PPM_0603,0.17000
1,R20,470E,0.1W,,,R_SMD_THINFILM_470E_0W1_1%_50PPM_0603
1,R25,270E,0.1W,,P270DBCT-ND,R_SMD_THINFILM_270E_0W1_1%_50PPM_0603,0.63000
1,R26,150E,0.1W,,P150DBCT-ND,R_SMD_THINFILM_150E_0W1_1%_50PPM_0603,0.63000
